issue	layer	title
#370	3	MacLane IV.3: Concrete reflective and coreflective subcategories
#376	3	MacLane IV.4: Left-adjoint-left-inverses and their characterization
#381	3	MacLane IV.5: The Galois connection of a group acting on a set
#383	3	MacLane IV.5: Boolean connectives as adjoints on a powerset
#384	3	MacLane IV.5: Quantifiers as adjoints to substitution
#385	3	MacLane IV.5: The orthogonal complement as a Galois connection
#389	3	MacLane IV.6: Powerset lattices and Boolean algebras are cartesian closed
#400	3	MacLane IV.8: The free-ring adjunction as a composite in two ways
#403	3	MacLane IV.9: Subobject classifiers for functor categories
#408	3	MacLane V.1: Inverse limits of towers of sets
#411	3	MacLane V.1: The forgetful functor of Grp lifts and creates limits
#415	3	MacLane V.1: FinSet is finitely complete
#428	3	MacLane V.4: Hom-functors are continuous
#437	3	MacLane V.6: The representability theorem
#441	3	MacLane V.6: The free-algebra adjunction for a variety
#450	3	MacLane V.7: Colimits in algebraic categories via the adjoint functor theorem
#455	3	MacLane V.6/V.8: The Stone-Cech compactification via the adjoint functor theorems
#458	3	MacLane V.9: Top is complete and cocomplete
#461	3	MacLane V.9: Hausdorff spaces, reflection, and the separation axioms
#479	3	MacLane VI.6: Algebraic quotients as coequalizers split under the forgetful functor (groups and rings)
#485	3	MacLane VI.7: The CTT/VTT/PTT tripleability predicates and their monadicity theorems
#504	3	MacLane VII.3: Substitution of words and the generalized associative law
#514	3	MacLane VII.5: The geometric-realization functor Δ → Top
#518	3	MacLane VII.6: The monoid-ring functor and the group ring
#524	3	MacLane VII.8: CGHaus is cartesian closed
#528	3	MacLane VII.9: Reduced suspension, loop space, and the Σ ⊣ Ω adjunction
#551	3	MacLane VIII.4: Members (pseudo-elements) and the diagram-chasing rules
#564	3	MacLane IX.2: Interchange of iterated limits and of iterated colimits
#569	3	MacLane IX.3: Properties of final functors and colimits of representables
#594	3	MacLane X.4: Kan extensions as (co)ends in the functor category (Ulmer; Day–Kelly)
#595	3	MacLane X.4: Additive (Ab-enriched) Kan extensions via cotensor
#599	3	MacLane X.5: Pointwise Kan extensions and the comma-category limit criterion
#604	3	MacLane X.7: The adjoint criterion via the Kan extension of the identity, and absolute Kan extensions
#612	3	MacLane XI.4: The Artin braid group B_n
#621	3	MacLane XII.2: The nerve of a category as a simplicial set
#628	3	MacLane XII.4: 3-categories via enrichment in 2-Cat
#644	3	Awodey 1.5: Every category with small hom-collections is concrete (Cayley/Yoneda into Sets)
#650	3	Awodey 2.1: Sets is balanced — a monic epimorphism of sets is an isomorphism
#660	3	Awodey 3.3: Subsets as equalizers of their characteristic functions in Sets
#709	3	Awodey 7.9: The equivalence Sets^I ≃ Sets/I and reindexing as pullback
#715	3	Awodey 8.6: Colimits in a functor category are pointwise, and presheaf categories are cocomplete
#730	3	Awodey 9.7: The dependent product — the right adjoint to base change on slices
#736	3	Awodey 9.8: Smallness discharges the solution-set condition — the adjoint functor theorem for small complete categories
#751	3	Awodey 10.5: Every polynomial endofunctor on Sets has an initial algebra
#752	3	Awodey 10.5: When endofunctor algebras are monad algebras — the free P-algebra and the three equivalent conditions
#226	4	MacLane I.2: The roster of standard large categories
#228	4	MacLane I.3: GL_n and the determinant as a natural transformation
#234	4	MacLane I.3: Functors between preorders, groups, and representation categories
#244	4	MacLane I.4: Finite-dimensional vector spaces and the matrix-category equivalence
#269	4	MacLane II.2: Restriction of scalars and the fibered category of all modules
#279	4	MacLane II.4: Linear representations as the functor category (K-Mod)^G
#280	4	MacLane II.4: R-Mod as an additive functor category
#282	4	MacLane II.4: Matrix equivalence and similarity via functor categories
#305	4	MacLane III.1: The free vector space on a set as a universal arrow
#306	4	MacLane III.1: The tensor product as a universal element of the bilinear-maps functor
#307	4	MacLane III.1: The field of quotients as a universal arrow
#309	4	MacLane III.1: Free modules and polynomial rings as universal arrows
#310	4	MacLane III.1: Group rings, tensor algebras, and exterior algebras as universal arrows
#314	4	MacLane III.1: Quotient modules and quotient rings by universality
#324	4	MacLane III.3: Coproducts in the familiar algebraic and topological categories
#327	4	MacLane III.3: Coequalizers in the matrix category
#361	4	MacLane IV.2: The universal enveloping algebra is left adjoint to the commutator functor
#377	4	MacLane IV.4: A full, faithful, surjective-on-objects functor has a left-adjoint-right-inverse
#378	4	MacLane IV.4: The colimit functor as a left-adjoint-left-inverse of the diagonal
#404	4	MacLane IV.10: Sets and presheaf categories as elementary toposes
#409	4	MacLane V.1: The p-adic integers and formal power series as inverse limits of rings
#410	4	MacLane V.1: The p-adic solenoid as a limit in Top
#442	4	MacLane V.6: The free group functor via the adjoint functor theorem
#443	4	MacLane V.6: Left adjoints to forgetful functors by the adjoint functor theorem
#444	4	MacLane V.6: The solution set condition is necessary (counterexamples)
#449	4	MacLane V.7: Tensor products of modules via the adjoint functor theorem
#454	4	MacLane V.8: Watt's theorem on representable additive functors
#465	4	MacLane VI.2: The monad R⊗(−) on Ab and its algebras are left R-modules
#486	4	MacLane VI.7: Tripleability is closed under composition (CTT/VTT/PTT composites)
#487	4	MacLane VI.8: Algebras of a variety are T-algebras (equational categories are monadic over Set)
#488	4	MacLane VI.8: Beck's theorem for K-Alg over K-Mod
#489	4	MacLane VI.9: Compact Hausdorff spaces are monadic over Set (the ultrafilter monad)
#500	4	MacLane VII.3: Monoids in a monoidal category recover the classical algebraic structures
#516	4	MacLane VII.5: Homology of a simplicial object and singular homology
#525	4	MacLane VII.8: Further properties of compactly generated spaces (exercises)
#541	4	MacLane VIII.2: The free additive category Add(A) and Add(K) = Matr_K
#549	4	MacLane VIII.3: Finitely generated modules over a left noetherian ring form an abelian category
#554	4	MacLane VIII.4: The short five lemma and the five lemma
#555	4	MacLane VIII.4: The snake lemma (the ker–coker exact sequence)
#558	4	MacLane VIII.4: The Freyd–Mitchell embedding theorem
#580	4	MacLane IX.6: Module tensor products and free modules as coends
#596	4	MacLane X.4: Left derived functors as a right Ab-enriched Kan extension
#601	4	MacLane X.6: Density in Ab and in R-Mod
#605	4	MacLane X.7: The codensity monad and codensity as Ran_K K
#613	4	MacLane XI.4: The surjection B_n ⟶ S_n and the symmetric group by transpositions
#614	4	MacLane XI.4: The braid category B as a braided (non-symmetric) monoidal category
#622	4	MacLane XII.2: The nerve of an internal category as a simplicial object
#633	4	MacLane XII.7: The bicategory of rings and bimodules
#663	4	Awodey 3.4: Presentations of algebras by generators and relations as coequalizers of free algebras
#685	4	Awodey 6.3: Powersets and open-set lattices as complete Heyting algebras, and the failure of the Boolean laws
#704	4	Awodey 7.5: The contravariant powerset functor on Sets, the double-powerset unit, and P(A+B) ≅ P(A) × P(B)
#717	4	Awodey 8.6: The Yoneda embedding is the free cocompletion of a small category
#719	4	Awodey 8.7/8.9 Ex 5: (− × B) as a left adjoint, and its preservation of all colimits
#722	4	Awodey 8.8: The fundamental theorem of topos theory — every slice of a topos is a topos
#728	4	Awodey 9.5: Quantifiers as adjoints to weakening — a syntactic hyperdoctrine and its geometric reading
#732	4	Awodey 9.7: Locally cartesian closed categories, and the equivalence with slicewise cartesian closure
#237	5	MacLane I.4: The double-dual natural isomorphism for finite-dimensional vector spaces
#388	5	MacLane IV.6: The tensor-hom adjunction for modules
#473	5	MacLane VI.4: The polynomial-ring monad from CRng
#474	5	MacLane VI.4: The tensor-algebra monad on Ab and rings as its algebras
#517	5	MacLane VII.6: The simplicial bar construction and standard resolution of a comonad
#556	5	MacLane VIII.4: The 3×3 lemma and the exact sequence of a composite
#615	5	MacLane XI.5: The braid category is the free braided monoidal category on one object
#699	5	Awodey 7.2: Hom(X,2) as a Boolean algebra and the powerset as a functor Sets^op ⟶ BA
#705	5	Awodey 7.7: The category of directed graphs as the functor category Sets^Γ
#723	5	Awodey 8.9 Ex 6: The subobject classifiers of Sets^2 and Sets^ω, and finite-set diagrams as a topos
#727	5	Awodey 9.4: The interior operator as a right adjoint to the inclusion of open sets
#733	5	Awodey 9.7: A slice of a presheaf category is again a presheaf category
#735	5	Awodey 9.7: Fibrations of posets — the category Fib, and Fib/P as a locally cartesian closed category
#739	5	Awodey 9.9 Ex 8: Indexed sets, change of base, and Lawvere's hyperdoctrine diagram
#750	5	Awodey 10.5: The covariant powerset functor has no initial algebra (Lambek plus Cantor)
#359	6	MacLane IV.2: The dual-object functor is adjoint to itself on the right
#360	6	MacLane IV.2: The forgetful functor from R-modules to abelian groups has both adjoints
#401	6	MacLane IV.8: Bimodule tensor adjunctions and their composites
#519	6	MacLane VII.6: Group (co)homology via the bar resolution
#616	6	MacLane XI.5: Braided coherence via the underlying braid, and the B_2 action on a tensor
#700	6	Awodey 7.3: The ultrafilter functor Ult : BA^op ⟶ Sets and the covariant ultrafilter endofunctor on Sets
#734	6	Awodey 9.7: Presheaf categories are locally cartesian closed
#745	6	Awodey 10.4/10.6 Ex 8: The interior comonad and the closure monad on the subsets of a space
#433	7	MacLane V.5: The vector-space dual functor has no right adjoint
#472	7	MacLane VI.4: The free R-module monad on Set and R-modules as its algebras
#701	7	Awodey 7.3: The Stone representation φ_B : B → P(Ult(B)) and the Stone representation theorem
#702	7	Awodey 7.9: Finite Stone duality — BA_fin is equivalent to Sets_fin^op
#703	8	Awodey 7.9: Complete atomic Boolean algebras and the discrete Stone duality caBA ≃ Sets^op
