item_id	classification	issue	projects	evidence_or_note
maclane:V.2:ex3	ABSENT	#353	4	also covered by existing issue
maclane:V.4:ex4	PARTIAL	#239	4	also covered by existing issue
maclane:V.1:def1	PRESENT	-	-	Structure/Complete.v:115 Complete
maclane:V.1:def2	PRESENT	-	-	Instance/Omega.v:72 Omega
maclane:V.4:def2	PRESENT	-	-	Construction/Comma/Limit.v:110 PreservesImageLimit
maclane:V.5:cor1	PRESENT	-	-	Adjunction/Continuity.v:217 left_adjoint_preserves_colimit
maclane:V.5:thm1	PRESENT	-	-	Adjunction/Continuity.v:183 rapl_is_alimit
maclane:V.6:def-algebraic-type	PRESENT	-	-	Instance/Comp.v:45 OpSignature
maclane:V.6:def-omega-e-algebra	PRESENT	-	-	Instance/Comp.v:46 OpSignature
maclane:V.6:def1	PRESENT	-	-	Theory/WeaklyInitial.v:58 WeaklyInitialFamily
maclane:V.6:def2	PRESENT	-	-	Adjunction/GAFT.v:159 SolutionSet
maclane:V.7:def1	PRESENT	-	-	Theory/Subobject.v:15 SubObj
maclane:V.7:def5	PRESENT	-	-	Adjunction/SAFT.v:99 Cogenerator
maclane:V.7:lem1	PRESENT	-	-	Theory/Morphisms/Stability.v:226 monic_pullback_stable
maclane:VI.1:remark2	PARTIAL	#463	4	MacLane VI.1: Monads on a preorder are closure operators, and their algebras are the closed elements
maclane:VI.2:remark1	PARTIAL	#463	4	MacLane VI.1: Monads on a preorder are closure operators, and their algebras are the closed elements
maclane:VI.2:remark2	ABSENT	#464	4	MacLane VI.2: The group-action monad G×(−) and its algebras are G-sets
maclane:VI.2:remark3	ABSENT	#465	4	MacLane VI.2: The monad R⊗(−) on Ab and its algebras are left R-modules
maclane:VI.2:ex1	ABSENT	#466	4	MacLane VI.2: The power-set monad and complete semilattices (Manes)
maclane:VI.2:ex2	ABSENT	#467	4	MacLane VI.2: The Eilenberg–Moore forgetful functor creates limits
maclane:VI.2:ex3	PARTIAL	#468	4	MacLane VI.2: Morphisms of monads, the category of monads, and the induced functor between algebra categories
maclane:VI.3:remark1	ABSENT	#469	4	MacLane VI.3: The discrete-space adjunction induces the identity monad — a non-monadic example
maclane:VI.4:construction1	ABSENT	#470	4	MacLane VI.4: The word monad, the free-semigroup adjunction, and monadicity of semigroups over Set
maclane:VI.4:prop1	PARTIAL	#470	4	MacLane VI.4: The word monad, the free-semigroup adjunction, and monadicity of semigroups over Set
maclane:VI.4:prop2	ABSENT	#470	4	MacLane VI.4: The word monad, the free-semigroup adjunction, and monadicity of semigroups over Set
maclane:VI.4:cor1	ABSENT	#470	4	MacLane VI.4: The word monad, the free-semigroup adjunction, and monadicity of semigroups over Set
maclane:VI.4:remark1	ABSENT	#470	4	MacLane VI.4: The word monad, the free-semigroup adjunction, and monadicity of semigroups over Set
maclane:VI.4:ex1	PARTIAL	#471	4	MacLane VI.4: The monoid monad W₀ and monoids as its algebras
maclane:VI.4:ex2	ABSENT	#472	4	MacLane VI.4: The free R-module monad on Set and R-modules as its algebras
maclane:VI.4:ex3	ABSENT	#473	4	MacLane VI.4: The polynomial-ring monad from CRng
maclane:VI.4:ex4	ABSENT	#474	4	MacLane VI.4: The tensor-algebra monad on Ab and rings as its algebras
maclane:VI.5:construction1	ABSENT	#475	4	MacLane VI.5: The Kleisli comparison functor and the free-object subcategory
maclane:VI.5:thm2	ABSENT	#475	4	MacLane VI.5: The Kleisli comparison functor and the free-object subcategory
maclane:VI.5:ex1	ABSENT	#475	4	MacLane VI.5: The Kleisli comparison functor and the free-object subcategory
maclane:VI.5:ex2	ABSENT	#475	4	MacLane VI.5: The Kleisli comparison functor and the free-object subcategory
maclane:VI.5:ex3	ABSENT	#475	4	MacLane VI.5: The Kleisli comparison functor and the free-object subcategory
maclane:VI.5:thm3	ABSENT	#476	4	MacLane VI.5: The category of resolutions of a monad — Kleisli initial, Eilenberg–Moore terminal
maclane:VI.5:ex4	ABSENT	#476	4	MacLane VI.5: The category of resolutions of a monad — Kleisli initial, Eilenberg–Moore terminal
maclane:VI.5:ex5	ABSENT	#476	4	MacLane VI.5: The category of resolutions of a monad — Kleisli initial, Eilenberg–Moore terminal
maclane:VI.6:def2	PARTIAL	#477	4	MacLane VI.6: The absolute-coequalizer (absolute-colimit) predicate
maclane:VI.6:remark1	ABSENT	#478	4	MacLane VI.6: The dom/cod fork in Cat and its splitting by a terminal object
maclane:VI.6:remark2	ABSENT	#479	4	MacLane VI.6: Algebraic quotients as coequalizers split under the forgetful functor (groups and rings)
maclane:VI.6:ex1	ABSENT	#479	4	MacLane VI.6: Algebraic quotients as coequalizers split under the forgetful functor (groups and rings)
maclane:VI.6:ex2	ABSENT	#480	4	MacLane VI.6: Contractible (Beck) parallel pairs
maclane:VI.7:def2	PARTIAL	#481	4	MacLane VI.7: Reflection of coequalizers — definition, and from creation or from preservation+conservativity
maclane:VI.7:ex1	PARTIAL	#481	4	MacLane VI.7: Reflection of coequalizers — definition, and from creation or from preservation+conservativity
maclane:VI.7:ex3	ABSENT	#481	4	MacLane VI.7: Reflection of coequalizers — definition, and from creation or from preservation+conservativity
maclane:VI.7:def1	PARTIAL	#482	4	MacLane VI.7: Comparison of adjunctions defining the same monad (definition and uniqueness)
maclane:VI.7:lem1	PARTIAL	#482	4	MacLane VI.7: Comparison of adjunctions defining the same monad (definition and uniqueness)
maclane:VI.7:ex2	PARTIAL	#483	4	MacLane VI.7: The graded weak and precise tripleability construction (left adjoint to K, unit/counit isos, algebra presentation)
maclane:VI.7:ex4	PARTIAL	#483	4	MacLane VI.7: The graded weak and precise tripleability construction (left adjoint to K, unit/counit isos, algebra presentation)
maclane:VI.7:ex5	PARTIAL	#483	4	MacLane VI.7: The graded weak and precise tripleability construction (left adjoint to K, unit/counit isos, algebra presentation)
maclane:VI.7:thm1	PARTIAL	#484	4	MacLane VI.7: Complete Beck's monadicity theorem (isomorphism conclusion, absolute-coequalizer condition, general converse)
maclane:VI.7:ex6	PARTIAL	#484	4	MacLane VI.7: Complete Beck's monadicity theorem (isomorphism conclusion, absolute-coequalizer condition, general converse)
maclane:VI.7:def3	PARTIAL	#485	4	MacLane VI.7: The CTT/VTT/PTT tripleability predicates and their monadicity theorems
maclane:VI.7:ex7	PARTIAL	#485	4	MacLane VI.7: The CTT/VTT/PTT tripleability predicates and their monadicity theorems
maclane:VI.7:ex8	ABSENT	#485	4	MacLane VI.7: The CTT/VTT/PTT tripleability predicates and their monadicity theorems
maclane:VI.7:ex9	ABSENT	#486	4	MacLane VI.7: Tripleability is closed under composition (CTT/VTT/PTT composites)
maclane:VI.7:ex10	ABSENT	#486	4	MacLane VI.7: Tripleability is closed under composition (CTT/VTT/PTT composites)
maclane:VI.7:ex11	ABSENT	#486	4	MacLane VI.7: Tripleability is closed under composition (CTT/VTT/PTT composites)
maclane:VI.8:thm1	PARTIAL	#487	4	MacLane VI.8: Algebras of a variety are T-algebras (equational categories are monadic over Set)
maclane:VI.8:ex1	PARTIAL	#487	4	MacLane VI.8: Algebras of a variety are T-algebras (equational categories are monadic over Set)
maclane:VI.8:ex2	ABSENT	#488	4	MacLane VI.8: Beck's theorem for K-Alg over K-Mod
maclane:VI.9:thm1	ABSENT	#489	4	MacLane VI.9: Compact Hausdorff spaces are monadic over Set (the ultrafilter monad)
maclane:VI.9:def1	ABSENT	#489	4	MacLane VI.9: Compact Hausdorff spaces are monadic over Set (the ultrafilter monad)
maclane:VI.9:lem1	ABSENT	#489	4	MacLane VI.9: Compact Hausdorff spaces are monadic over Set (the ultrafilter monad)
maclane:VI.9:ex1	ABSENT	#489	4	MacLane VI.9: Compact Hausdorff spaces are monadic over Set (the ultrafilter monad)
maclane:VI.1:construction1	PRESENT	-	-	Monad/Adjunction.v:48 Adjunction_Monad
maclane:VI.1:construction2	PRESENT	-	-	Comonad/Duality.v:170 Adjunction_Comonad
maclane:VI.1:def1	PRESENT	-	-	Theory/Monad.v:92 Monad
maclane:VI.1:def2	PRESENT	-	-	Theory/Monad.v:144 Comonad
maclane:VI.1:remark1	PRESENT	-	-	Monad/Monoid.v:40 Monoid_Monad
maclane:VI.2:def1	PRESENT	-	-	Monad/Algebra.v:24 TAlgebra
maclane:VI.2:thm1	PRESENT	-	-	Monad/Eilenberg/Moore.v:44 EilenbergMoore
maclane:VI.3:def1	PRESENT	-	-	Monad/Comparison.v:273 Monadic
maclane:VI.3:thm1	PRESENT	-	-	Monad/Comparison.v:186 EM_Comparison
maclane:VI.5:thm1	PRESENT	-	-	Monad/Kleisli.v:38 Kleisli
maclane:VI.6:cor1	PRESENT	-	-	Structure/Coequalizer/Split.v:132 split_coequalizer_preserved
maclane:VI.6:def1	PRESENT	-	-	Structure/Coequalizer.v:55 IsCoequalizer.cofork
maclane:VI.6:def3	PRESENT	-	-	Structure/Coequalizer/Split.v:40 SplitCoequalizer
maclane:VI.6:def4	PRESENT	-	-	Structure/Coequalizer/Split.v:40 SplitCoequalizer
maclane:VI.6:lem1	PRESENT	-	-	Structure/Coequalizer/Split.v:90 split_coequalizer_is_coequalizer
maclane:VI.7:construction1	PRESENT	-	-	Monad/Monadicity/Crude.v:492 crude_unit_cofork
maclane:VII.1:construction1	PARTIAL	#490	4	MacLane VII.1: Cocartesian monoidal structure from finite coproducts
maclane:VII.1:construction2	PARTIAL	#491	4	MacLane VII.1: Moncat, the category of monoidal categories, and its finite products
maclane:VII.1:ex2	PARTIAL	#491	4	MacLane VII.1: Moncat, the category of monoidal categories, and its finite products
maclane:VII.1:ex4	PARTIAL	#492	4	MacLane VII.1: The pointwise monoidal structure on a functor category and the exponential law
maclane:VII.1:ex5	PARTIAL	#493	4	MacLane VII.1: One-object strict monoidal categories and the Eckmann–Hilton interchange
maclane:VII.1:ex6	ABSENT	#494	4	MacLane VII.1: Independence of the pentagon and triangle axioms
maclane:VII.1:remark2	ABSENT	#495	4	MacLane VII.1: Isbell's argument against strictifying by identifying isomorphic objects
maclane:VII.2:def1	ABSENT	#496	4	MacLane VII.2: The free monoidal category on one generator
maclane:VII.2:construction1	ABSENT	#496	4	MacLane VII.2: The free monoidal category on one generator
maclane:VII.2:thm1	ABSENT	#496	4	MacLane VII.2: The free monoidal category on one generator
maclane:VII.2:cor1	ABSENT	#497	4	MacLane VII.2: The coherence theorem for monoidal categories
maclane:VII.2:ex3	ABSENT	#498	4	MacLane VII.2: The free monoidal category on a set
maclane:VII.2:ex1	ABSENT	#499	4	MacLane VII.2: The associahedron of canonical maps
maclane:VII.2:ex2	ABSENT	#499	4	MacLane VII.2: The associahedron of canonical maps
maclane:VII.3:remark1	PARTIAL	#500	4	MacLane VII.3: Monoids in a monoidal category recover the classical algebraic structures
maclane:VII.3:prop1	ABSENT	#501	4	MacLane VII.3: The general associative law and coherence for monoids
maclane:VII.3:ex2	ABSENT	#501	4	MacLane VII.3: The general associative law and coherence for monoids
maclane:VII.3:thm2	ABSENT	#502	4	MacLane VII.3: Construction of free monoids as coproducts of tensor powers
maclane:VII.3:ex1	PARTIAL	#503	4	MacLane VII.3: Finite products in the category of monoids
maclane:VII.3:ex3	ABSENT	#504	4	MacLane VII.3: Substitution of words and the generalized associative law
maclane:VII.4:def1	ABSENT	#505	4	MacLane VII.4: Modules over a monoid object and the free/forgetful adjunction
maclane:VII.4:def2	ABSENT	#505	4	MacLane VII.4: Modules over a monoid object and the free/forgetful adjunction
maclane:VII.4:construction1	ABSENT	#505	4	MacLane VII.4: Modules over a monoid object and the free/forgetful adjunction
maclane:VII.4:def3	ABSENT	#505	4	MacLane VII.4: Modules over a monoid object and the free/forgetful adjunction
maclane:VII.4:ex4	ABSENT	#506	4	MacLane VII.4: Limits and colimits in the category of modules
maclane:VII.4:ex5	ABSENT	#506	4	MacLane VII.4: Limits and colimits in the category of modules
maclane:VII.4:ex6	ABSENT	#507	4	MacLane VII.4: The relative tensor product of a right module by a left module
maclane:VII.4:ex3	ABSENT	#508	4	MacLane VII.4: Comodules over a comonoid object
maclane:VII.4:ex7	ABSENT	#509	4	MacLane VII.4: Coherence for a module action
maclane:VII.4:ex1	PARTIAL	#510	4	MacLane VII.4: Actions of a monad on an endofunctor and liftings to the algebras
maclane:VII.4:ex2	ABSENT	#511	4	MacLane VII.4: A monoidal category acting on a category (actegories)
maclane:VII.5:construction1	ABSENT	#512	4	MacLane VII.5: The simplicial category Δ as the free strict monoidal category on a monoid
maclane:VII.5:remark-protean	ABSENT	#512	4	MacLane VII.5: The simplicial category Δ as the free strict monoidal category on a monoid
maclane:VII.5:prop1	ABSENT	#512	4	MacLane VII.5: The simplicial category Δ as the free strict monoidal category on a monoid
maclane:VII.5:construction2	ABSENT	#513	4	MacLane VII.5: The arrow calculus of Δ — factorization, generators and relations
maclane:VII.5:lem-normalform	ABSENT	#513	4	MacLane VII.5: The arrow calculus of Δ — factorization, generators and relations
maclane:VII.5:prop2	ABSENT	#513	4	MacLane VII.5: The arrow calculus of Δ — factorization, generators and relations
maclane:VII.5:ex1	ABSENT	#513	4	MacLane VII.5: The arrow calculus of Δ — factorization, generators and relations
maclane:VII.5:ex2	ABSENT	#513	4	MacLane VII.5: The arrow calculus of Δ — factorization, generators and relations
maclane:VII.5:ex3	ABSENT	#513	4	MacLane VII.5: The arrow calculus of Δ — factorization, generators and relations
maclane:VII.5:construction-geometric	ABSENT	#514	4	MacLane VII.5: The geometric-realization functor Δ → Top
maclane:VII.5:def-deltaplus	ABSENT	#515	4	MacLane VII.5: Simplicial sets and simplicial objects
maclane:VII.5:def-simplicialset	ABSENT	#515	4	MacLane VII.5: Simplicial sets and simplicial objects
maclane:VII.5:def-simplicialobject	ABSENT	#515	4	MacLane VII.5: Simplicial sets and simplicial objects
maclane:VII.5:def-augmented	ABSENT	#515	4	MacLane VII.5: Simplicial sets and simplicial objects
maclane:VII.5:ex4	ABSENT	#515	4	MacLane VII.5: Simplicial sets and simplicial objects
maclane:VII.5:construction-homology	ABSENT	#516	4	MacLane VII.5: Homology of a simplicial object and singular homology
maclane:VII.5:construction-singular	ABSENT	#516	4	MacLane VII.5: Homology of a simplicial object and singular homology
maclane:VII.6:remark-universal-comonoid	ABSENT	#517	4	MacLane VII.6: The simplicial bar construction and standard resolution of a comonad
maclane:VII.6:construction-smpl	ABSENT	#517	4	MacLane VII.6: The simplicial bar construction and standard resolution of a comonad
maclane:VII.6:construction-resolution	ABSENT	#517	4	MacLane VII.6: The simplicial bar construction and standard resolution of a comonad
maclane:VII.6:construction-monoidring	ABSENT	#518	4	MacLane VII.6: The monoid-ring functor and the group ring
maclane:VII.6:construction-freemodule	ABSENT	#519	4	MacLane VII.6: Group (co)homology via the bar resolution
maclane:VII.6:construction-barresolution	ABSENT	#519	4	MacLane VII.6: Group (co)homology via the bar resolution
maclane:VII.6:construction-groupcohomology	ABSENT	#519	4	MacLane VII.6: Group (co)homology via the bar resolution
maclane:VII.6:remark-grouphomology	ABSENT	#519	4	MacLane VII.6: Group (co)homology via the bar resolution
maclane:VII.7:remark-symmetric	PARTIAL	#520	4	MacLane VII.7: Coherence for symmetric monoidal categories, and product/coproduct as symmetric tensor
maclane:VII.8:construction-compactopen	ABSENT	#521	4	MacLane VII.8: The compact-open function space and the local-compactness exponential law
maclane:VII.8:def-compactlygenerated	ABSENT	#522	4	MacLane VII.8: Compactly generated Hausdorff spaces and the Kelleyfication coreflection
maclane:VII.8:construction-kelleyfication	ABSENT	#522	4	MacLane VII.8: Compactly generated Hausdorff spaces and the Kelleyfication coreflection
maclane:VII.8:prop1	ABSENT	#522	4	MacLane VII.8: Compactly generated Hausdorff spaces and the Kelleyfication coreflection
maclane:VII.8:prop2	ABSENT	#523	4	MacLane VII.8: CGHaus is complete and cocomplete
maclane:VII.8:thm3	ABSENT	#524	4	MacLane VII.8: CGHaus is cartesian closed
maclane:VII.8:ex1	ABSENT	#525	4	MacLane VII.8: Further properties of compactly generated spaces (exercises)
maclane:VII.8:ex2	ABSENT	#525	4	MacLane VII.8: Further properties of compactly generated spaces (exercises)
maclane:VII.8:ex3	ABSENT	#525	4	MacLane VII.8: Further properties of compactly generated spaces (exercises)
maclane:VII.8:ex4	ABSENT	#525	4	MacLane VII.8: Further properties of compactly generated spaces (exercises)
maclane:VII.8:ex5	ABSENT	#525	4	MacLane VII.8: Further properties of compactly generated spaces (exercises)
maclane:VII.9:def-pointed	PARTIAL	#526	4	MacLane VII.9: The category of pointed objects and the pointed function space
maclane:VII.9:def-smash	ABSENT	#527	4	MacLane VII.9: The smash product and the smash–hom adjunction on pointed spaces
maclane:VII.9:ex2	ABSENT	#527	4	MacLane VII.9: The smash product and the smash–hom adjunction on pointed spaces
maclane:VII.9:ex3	ABSENT	#527	4	MacLane VII.9: The smash product and the smash–hom adjunction on pointed spaces
maclane:VII.9:def-suspension-loop	ABSENT	#528	4	MacLane VII.9: Reduced suspension, loop space, and the Σ ⊣ Ω adjunction
maclane:VII.9:ex4	ABSENT	#528	4	MacLane VII.9: Reduced suspension, loop space, and the Σ ⊣ Ω adjunction
maclane:VII.9:ex5	ABSENT	#528	4	MacLane VII.9: Reduced suspension, loop space, and the Σ ⊣ Ω adjunction
maclane:VII.9:ex1	ABSENT	#529	4	MacLane VII.9: The left adjoint of the pointed-hom functor on pointed sets
maclane:VII.1:remark1	ABSENT	#265	4	also covered by existing issue
maclane:VII.1:def1	PRESENT	-	-	Structure/Monoidal/Strict.v:52 StrictMonoidal
maclane:VII.1:def2	PRESENT	-	-	Structure/Monoidal.v:125 Monoidal
maclane:VII.1:def3	PRESENT	-	-	Functor/Structure/Monoidal/Strict.v:54 StrictMonoidalFunctor
maclane:VII.1:ex1	PRESENT	-	-	Structure/Monoidal/Proofs.v:184 triangle_identity_left
maclane:VII.1:ex3	PRESENT	-	-	Construction/Opposite/Monoidal.v:92 Monoidal_op
maclane:VII.3:construction1	PRESENT	-	-	Theory/Algebra/Monoid/Hom.v:83 Mon
maclane:VII.3:def1	PRESENT	-	-	Theory/Algebra/Monoid.v:44 Monoid
maclane:VII.3:def2	PRESENT	-	-	Theory/Algebra/Monoid/Hom.v:34 MonoidHom
maclane:VII.6:def-comonad	PRESENT	-	-	Theory/Monad.v:144 Comonad
maclane:VII.7:def-closed	PRESENT	-	-	Structure/Monoidal/StarAutonomous.v:109 SymMonClosed
maclane:VII.7:def-enriched	PRESENT	-	-	Construction/Enriched.v:111 Enriched
maclane:VII.7:def-symmetric	PRESENT	-	-	Structure/Monoidal/Symmetric.v:103 SymmetricMonoidal
maclane:VIII.1:remark2	ABSENT	#530	4	MacLane VIII.1: Equalizers as kernels of differences in an Ab-category
maclane:VIII.1:construction1	PARTIAL	#531	4	MacLane VIII.1: The kernel–cokernel Galois connection
maclane:VIII.1:remark3	PARTIAL	#532	4	MacLane VIII.1: The canonical factorization f = ker(coker f) ∘ q and its diagonal fill-in
maclane:VIII.1:lem1	PARTIAL	#532	4	MacLane VIII.1: The canonical factorization f = ker(coker f) ∘ q and its diagonal fill-in
maclane:VIII.2:prop1	ABSENT	#533	4	MacLane VIII.2: Characterization of the zero object in an Ab-category
maclane:VIII.2:thm2	PARTIAL	#534	4	MacLane VIII.2: Product, biproduct, and coproduct coincide in an Ab-category
maclane:VIII.2:ex1	PARTIAL	#534	4	MacLane VIII.2: Product, biproduct, and coproduct coincide in an Ab-category
maclane:VIII.2:construction1	PARTIAL	#535	4	MacLane VIII.2: The biproduct bifunctor and its associativity and commutativity
maclane:VIII.2:ex3	PARTIAL	#535	4	MacLane VIII.2: The biproduct bifunctor and its associativity and commutativity
maclane:VIII.2:construction2	PARTIAL	#536	4	MacLane VIII.2: Finite biproducts and the matrix calculus of arrows
maclane:VIII.2:prop4	ABSENT	#537	4	MacLane VIII.2: Additive functors are exactly the biproduct-preserving functors
maclane:VIII.2:ex2	ABSENT	#538	4	MacLane VIII.2: The infinite canonical coproduct-to-product map need not be an isomorphism
maclane:VIII.2:ex4	PARTIAL	#539	4	MacLane VIII.2: Group completion of the semiadditive enrichment (Ex 4b)
maclane:VIII.2:ex5	ABSENT	#540	4	MacLane VIII.2: The free Ab-category on a category
maclane:VIII.2:ex6	ABSENT	#541	4	MacLane VIII.2: The free additive category Add(A) and Add(K) = Matr_K
maclane:VIII.3:remark1	PARTIAL	#542	4	MacLane VIII.3: Abelian categories are finitely (co)complete and balanced
maclane:VIII.3:remark2	PARTIAL	#542	4	MacLane VIII.3: Abelian categories are finitely (co)complete and balanced
maclane:VIII.3:remark3	ABSENT	#543	4	MacLane VIII.3: Functor and product categories inherit abelian structure
maclane:VIII.3:ex2	ABSENT	#543	4	MacLane VIII.3: Functor and product categories inherit abelian structure
maclane:VIII.3:def2	PARTIAL	#544	4	MacLane VIII.3: Coimage and the canonical coimage-to-image isomorphism
maclane:VIII.3:def3	ABSENT	#545	4	MacLane VIII.3: Exact sequences and short exact sequences
maclane:VIII.3:def4	ABSENT	#545	4	MacLane VIII.3: Exact sequences and short exact sequences
maclane:VIII.3:def-short-right-left-exact	ABSENT	#545	4	MacLane VIII.3: Exact sequences and short exact sequences
maclane:VIII.3:def-exact-functor	ABSENT	#546	4	MacLane VIII.3: Exact and left-exact functors
maclane:VIII.3:def-left-exact-functor	ABSENT	#546	4	MacLane VIII.3: Exact and left-exact functors
maclane:VIII.3:ex1	ABSENT	#546	4	MacLane VIII.3: Exact and left-exact functors
maclane:VIII.3:remark-economical-axioms	PARTIAL	#547	4	MacLane VIII.3: The economical (Freyd–Schubert) axiomatization of abelian categories
maclane:VIII.3:ex3	ABSENT	#548	4	MacLane VIII.3: (Finite) abelian groups are abelian; free abelian groups are not
maclane:VIII.3:ex4	ABSENT	#548	4	MacLane VIII.3: (Finite) abelian groups are abelian; free abelian groups are not
maclane:VIII.3:ex5	ABSENT	#549	4	MacLane VIII.3: Finitely generated modules over a left noetherian ring form an abelian category
maclane:VIII.3:ex6	ABSENT	#550	4	MacLane VIII.3: Subquotients and the ker/im ≅ coim/coker isomorphism
maclane:VIII.4:def-member	ABSENT	#551	4	MacLane VIII.4: Members (pseudo-elements) and the diagram-chasing rules
maclane:VIII.4:thm3	PARTIAL	#551	4	MacLane VIII.4: Members (pseudo-elements) and the diagram-chasing rules
maclane:VIII.4:prop2	ABSENT	#552	4	MacLane VIII.4: Pullbacks of epimorphisms and of short exact sequences
maclane:VIII.4:remark-ext-bifunctor	ABSENT	#552	4	MacLane VIII.4: Pullbacks of epimorphisms and of short exact sequences
maclane:VIII.4:def-morphism-ses	ABSENT	#553	4	MacLane VIII.4: The additive category Ses A of short exact sequences
maclane:VIII.4:construction-ses	ABSENT	#553	4	MacLane VIII.4: The additive category Ses A of short exact sequences
maclane:VIII.4:ex7	ABSENT	#553	4	MacLane VIII.4: The additive category Ses A of short exact sequences
maclane:VIII.4:lem1	ABSENT	#554	4	MacLane VIII.4: The short five lemma and the five lemma
maclane:VIII.4:lem4	ABSENT	#554	4	MacLane VIII.4: The short five lemma and the five lemma
maclane:VIII.4:ex1	ABSENT	#554	4	MacLane VIII.4: The short five lemma and the five lemma
maclane:VIII.4:ex2	ABSENT	#554	4	MacLane VIII.4: The short five lemma and the five lemma
maclane:VIII.4:construction-ker-coker-rows	ABSENT	#555	4	MacLane VIII.4: The snake lemma (the ker–coker exact sequence)
maclane:VIII.4:lem5	ABSENT	#555	4	MacLane VIII.4: The snake lemma (the ker–coker exact sequence)
maclane:VIII.4:ex3	ABSENT	#555	4	MacLane VIII.4: The snake lemma (the ker–coker exact sequence)
maclane:VIII.4:ex4	ABSENT	#555	4	MacLane VIII.4: The snake lemma (the ker–coker exact sequence)
maclane:VIII.4:ex5	ABSENT	#556	4	MacLane VIII.4: The 3×3 lemma and the exact sequence of a composite
maclane:VIII.4:ex6	ABSENT	#556	4	MacLane VIII.4: The 3×3 lemma and the exact sequence of a composite
maclane:VIII.4:def-chain-complex	ABSENT	#557	4	MacLane VIII.4: Chain complexes and homology objects
maclane:VIII.4:def-homology-object	ABSENT	#557	4	MacLane VIII.4: Chain complexes and homology objects
maclane:VIII.4:remark-embedding	ABSENT	#558	4	MacLane VIII.4: The Freyd–Mitchell embedding theorem
maclane:VIII.2:def1	PARTIAL	#264	4	also covered by existing issue
maclane:VIII.2:def4	ABSENT	#264	4	also covered by existing issue
maclane:VIII.1:def1	PRESENT	-	-	Structure/ZeroObject.v:53 zero_mor
maclane:VIII.1:def2	PRESENT	-	-	Structure/Kernel.v:53 IsKernel
maclane:VIII.1:def3	PRESENT	-	-	Structure/Kernel.v:58 IsCokernel
maclane:VIII.1:remark1	PRESENT	-	-	Structure/Kernel.v:98 kernel_monic
maclane:VIII.2:def2	PRESENT	-	-	Structure/Biproduct.v:42 Biproduct
maclane:VIII.2:def3	PRESENT	-	-	Structure/Additive.v:34 Additive
maclane:VIII.2:prop3	PRESENT	-	-	Structure/Semiadditive.v:130 biproduct_addition
maclane:VIII.2:remark1	PRESENT	-	-	Structure/Preadditive.v:87 pzero_zero_mor
maclane:VIII.3:def1	PRESENT	-	-	Structure/Abelian.v:137 Abelian
maclane:VIII.3:prop1	PRESENT	-	-	Structure/Abelian.v:371 abelian_epi_mono_factorization
maclane:IX.1:def1	ABSENT	#559	4	MacLane IX.1: Filtered categories and filtered colimits
maclane:IX.1:def2	ABSENT	#559	4	MacLane IX.1: Filtered categories and filtered colimits
maclane:IX.1:remark1	ABSENT	#559	4	MacLane IX.1: Filtered categories and filtered colimits
maclane:IX.1:def3	ABSENT	#559	4	MacLane IX.1: Filtered categories and filtered colimits
maclane:IX.1:thm1	ABSENT	#560	4	MacLane IX.1: Small coproducts from finite coproducts and directed colimits
maclane:IX.1:prop2	ABSENT	#561	4	MacLane IX.1: Algebraic forgetful functors create filtered colimits
maclane:IX.1:remark2	ABSENT	#561	4	MacLane IX.1: Algebraic forgetful functors create filtered colimits
maclane:IX.1:cor3	ABSENT	#562	4	MacLane IX.1: Grp is cocomplete
maclane:IX.2:construction1	ABSENT	#563	4	MacLane IX.2: Finite limits commute with filtered colimits in Set
maclane:IX.2:thm1	ABSENT	#563	4	MacLane IX.2: Finite limits commute with filtered colimits in Set
maclane:IX.2:ex1	ABSENT	#563	4	MacLane IX.2: Finite limits commute with filtered colimits in Set
maclane:IX.2:remark1	ABSENT	#564	4	MacLane IX.2: Interchange of iterated limits and of iterated colimits
maclane:IX.8:remark1	ABSENT	#564	4	MacLane IX.2: Interchange of iterated limits and of iterated colimits
maclane:IX.2:ex2	ABSENT	#565	4	MacLane IX.2: Pseudo-filtered categories
maclane:IX.2:ex3	ABSENT	#566	4	MacLane IX.2: Coproducts commute with pullbacks, and pseudo-filtered colimits commute with pullbacks, in Set
maclane:IX.2:ex4	ABSENT	#566	4	MacLane IX.2: Coproducts commute with pullbacks, and pseudo-filtered colimits commute with pullbacks, in Set
maclane:IX.3:def1	ABSENT	#567	4	MacLane IX.3: Final (cofinal) functors and final subcategories
maclane:IX.3:def2	ABSENT	#567	4	MacLane IX.3: Final (cofinal) functors and final subcategories
maclane:IX.3:construction1	ABSENT	#568	4	MacLane IX.3: Final functors preserve colimits (and initial functors, limits)
maclane:IX.3:thm1	ABSENT	#568	4	MacLane IX.3: Final functors preserve colimits (and initial functors, limits)
maclane:IX.3:remark1	ABSENT	#568	4	MacLane IX.3: Final functors preserve colimits (and initial functors, limits)
maclane:IX.3:ex1	ABSENT	#569	4	MacLane IX.3: Properties of final functors and colimits of representables
maclane:IX.3:ex2	ABSENT	#569	4	MacLane IX.3: Properties of final functors and colimits of representables
maclane:IX.3:ex3	ABSENT	#569	4	MacLane IX.3: Properties of final functors and colimits of representables
maclane:IX.3:ex4	ABSENT	#569	4	MacLane IX.3: Properties of final functors and colimits of representables
maclane:IX.3:ex5	ABSENT	#569	4	MacLane IX.3: Properties of final functors and colimits of representables
